name,primary_category,secondary_categories,town,address,phone,email,website,source,source_url,confidence,notes,county,local_area,service_area_notes
Shane Brian Construction Ltd,General Contractor,General Contractors,Chesterville,"1823 Winchester Boundary Rd, Chesterville, ON K0C 1H0",613-448-1230,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/General+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 31.1 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Chesterville/Shane-Brian-Construction-Ltd/7905086.html?what=General+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,North Dundas,Local town pin only
Total Home,General Contractor,General Contractors; More&hellip;,Kemptville,"4103 County Road 43, Kemptville, ON K0G 1J0",613-286-7165,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/General+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 30 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Kemptville/Total-Home/100773908.html?what=General+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Windmill Construction,General Contractor,General Contractors,Long Sault,"16024 Losey Rd, Long Sault, ON K0C 1M0",613-534-3837,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/General+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 17.4 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Long-Sault/Windmill-Construction/1722671.html?what=General+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Stormont,South Stormont,Local town pin only
Hometown Heating,HVAC,Heating Contractors,Prescott,"250 CENTER ST, PRESCOTT, ON K0E 1T0",613-925-1039,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Heating+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 33.7 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/PRESCOTT/Hometown-Heating/785544.html?what=Heating+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Neal's Heating Cooling & Refrigeration,HVAC,Heating Contractors; More&hellip;,Winchester,"12095 Baker Rd RR 4, Winchester, ON K0C 2K0",613-774-6446,nealshcr@xplornet.com,,YellowPages.ca; North Dundas municipal business directory,https://www.yellowpages.ca/search/si/1/Heating+Contractors/Morrisburg+ON; https://www.northdundas.com/business-development/economic-development/business-directory?page=20,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 21.4 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Winchester/Neal-s-Heating-Cooling-Refrigeration/7092034.html?what=Heating+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management. Public source listing found; needs owner claim and service-area confirmation.",Dundas,North Dundas,Local town pin only
Sauve Don Heating,HVAC,Heating Contractors,Prescott,"4100 County Road 18 RR 4, Prescott, ON K0E 1T0",613-925-0223,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Heating+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 33.3 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Prescott/Sauve-Don-Heating/101601099.html?what=Heating+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Sauve Heating & Air Conditioning,HVAC,Heating Contractors,Prescott,"4401 County Road 18, Prescott, ON K0E 1T0",613-258-7173,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Heating+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 33.2 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Prescott/Sauve-Heating-Air-Conditioning/6548097.html?what=Heating+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Stuart Heating & Cooling,HVAC,Heating Contractors; More&hellip;,Prescott,"2924 County Road 18 RR 2, Prescott, ON K0E 1T0",613-349-9352,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Heating+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 33.3 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Prescott/Stuart-Heating-Cooling/7930549.html?what=Heating+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Stuart Mechanical,HVAC,Heating Contractors; More&hellip;,Prescott,"2924 County Rd 18 Rr 2, Prescott, ON K0E 1T0",613-925-3147,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Heating+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 33.4 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Prescott/Stuart-Mechanical/5818481.html?what=Heating+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
The Stove Store,HVAC,Heating Contractors; More&hellip;,Spencerville,"6 Beverly St, Spencerville, ON K0E 1X0",613-658-3101,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Heating+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 30.4 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Spencerville/The-Stove-Store/1513759.html?what=Heating+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
BM Landscaping,Landscaping,Landscape Contractors & Designers,Iroquois,"10163 Countru RD2, Iroquois, ON K0E 1K0",613-652-1051,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Landscape+Contractors+%26+Designers/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 15.2 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Iroquois/BM-Landscaping/101578521.html?what=Landscape+Contractors+%26+Designers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,South Dundas,Local town pin only
Country Woods Landscaping,Landscaping,Landscape Contractors & Designers,Chesterville,"13115 McMillan Road, Chesterville, ON K0C 1H0",613-406-9654,countrywoodslandscaping@outlook.com,https://www.countrywoodslandscaping.ca,YellowPages.ca; North Dundas municipal business directory,https://www.yellowpages.ca/search/si/1/Landscape+Contractors+%26+Designers/Morrisburg+ON; https://www.northdundas.com/business-development/economic-development/business-directory?page=5,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 24.1 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Chesterville/Country-Woods-Landscaping/100903740.html?what=Landscape+Contractors+%26+Designers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management. Public source listing found; needs owner claim and service-area confirmation.",Dundas,North Dundas,Local town pin only
Lasting Impressions Landscaping,Landscaping,Landscape Contractors & Designers,Long Sault,"16581 County Rd 36, Long Sault, ON K0C 1P0",343-309-9779,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Landscape+Contractors+%26+Designers/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 31.8 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Long-Sault/Lasting-Impressions-Landscaping/934256.html?what=Landscape+Contractors+%26+Designers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Stormont,South Stormont,Local town pin only
Oxford Mills Landscaping,Landscaping,Landscape Contractors & Designers,Kemptville,"640 Jig, Kemptville, ON K0G 1J0",613-258-5772,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Landscape+Contractors+%26+Designers/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 30 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Kemptville/Oxford-Mills-Landscaping/6913319.html?what=Landscape+Contractors+%26+Designers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Paysagement Lefebvre,Landscaping,Landscape Contractors & Designers,Long Sault,"5325 Power Dam Dr RR 1, Long Sault, ON K0C 1P0",613-936-3353,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Landscape+Contractors+%26+Designers/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 34.3 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Long-Sault/Paysagement-Lefebvre/8152829.html?what=Landscape+Contractors+%26+Designers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Stormont,South Stormont,Local town pin only
Country Charm Painting & Decorating,Painting,Painters,Kemptville,"684 County Road 44 RR 2, Kemptville, ON K0G 1J0",613-258-0125,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Painters/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 34.4 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Kemptville/Country-Charm-Painting-Decorating/6936063.html?what=Painters&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
D.T. Painting and Plastering,Painting,Painters,Iroquois,"10223 English Rd, Iroquois, ON K0E 1K0",613-315-5729,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Painters/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 16.4 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Iroquois/D-T-Painting-and-Plastering/101527982.html?what=Painters&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,South Dundas,Local town pin only
JM Professional Painting,Painting,Painters,Morrisburg,"13011 Pigeon Island, Morrisburg, ON K0C 1X0",613-543-4481,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Painters/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 1.5 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Morrisburg/JM-Professional-Painting/7523483.html?what=Painters&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,South Dundas,Local town pin only
Quality Pest Control,Pest Control,Pest Control Services,Ingleside,"5435 County Road 12, Ingleside, ON K0C 1M0",613-936-0911,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Pest+Control+Services/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 24.3 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Ingleside/Quality-Pest-Control/4998597.html?what=Pest+Control+Services&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Stormont,South Stormont,Local town pin only
Eric Jansen Plumbing And Heating Service,Plumbing,Plumbers & Plumbing Contractors,Cardinal,"28 William, Cardinal, ON K0E 1E0",613-657-3000,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Plumbers/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 22.3 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Cardinal/Eric-Jansen-Plumbing-And-Heating-Service/4174638.html?what=Plumbers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Glen Robinson & Sons,Plumbing,Plumbers & Plumbing Contractors,Chesterville,"12841 Nation Valley Road, Chesterville, ON K0C 1H0",613-448-2894,kelly.vdvrobinson@gmail.com,https://www.facebook.com/pages/category/Plumbing-Service/Glen-Robinson-Sons-Plumbing-Heating-1383292278569291/,YellowPages.ca; North Dundas municipal business directory,https://www.yellowpages.ca/search/si/1/Plumbers/Morrisburg+ON; https://www.northdundas.com/business-development/economic-development/business-directory?page=12,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 20.4 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Chesterville/Glen-Robinson-Sons/694020.html?what=Plumbers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management. Public source listing found; needs owner claim and service-area confirmation.",Dundas,North Dundas,Local town pin only
H D Tile Drainage Ltd,Plumbing,Plumbers & Plumbing Contractors,Winchester,"1155 Spruce Dr RR 1, Winchester, ON K0C 2K0",613-774-3751,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Plumbers/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 33.5 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Winchester/H-D-Tile-Drainage-Ltd/737774.html?what=Plumbers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,North Dundas,Local town pin only
L F Myre,Plumbing,Plumbers & Plumbing Contractors,Winchester,"7949 Belmeade Rd, Winchester, ON K0C 2K0",613-632-9626,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Plumbers/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 34.2 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Winchester/L-F-Myre/913056.html?what=Plumbers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,North Dundas,Local town pin only
Laperriere Mechanical,Plumbing,Plumbers & Plumbing Contractors,Cornwall,"1007 Pescod Ave, Cornwall, ON K6J 2K1",613-932-4236,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Plumbers/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 34.9 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Cornwall/Laperriere-Mechanical/2366648.html?what=Plumbers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Munro Garry Plumbing & Heating Limited,Plumbing,Plumbers & Plumbing Contractors,Winchester,"564 MAIN ST PO BOX 66, WINCHESTER, ON K0C 2K0",613-774-9980,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Plumbers/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 25.2 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/WINCHESTER/Munro-Garry-Plumbing-Heating-Limited/6913115.html?what=Plumbers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,North Dundas,Local town pin only
Pro Bowl Plumbing,Plumbing,Plumbers & Plumbing Contractors,Long Sault,"35 Abagail Cres, Long Sault, ON K0C 1P0",613-362-4429,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Plumbers/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 26.5 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Long-Sault/Pro-Bowl-Plumbing/101568014.html?what=Plumbers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Stormont,South Stormont,Local town pin only
W C Robinson & Son Ltd,Plumbing,Plumbers & Plumbing Contractors,South Mountain,"3260 Wallace Rd, South Mountain, ON K0E 1W0",613-989-2894,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Plumbers/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 24 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/South-Mountain/W-C-Robinson-Son-Ltd/6963683.html?what=Plumbers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,North Dundas,Local town pin only
Ken's Roofing,Roofing,Roofers,Prescott,"178 Park E, Prescott, ON K0E 1T0",613-925-5145,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Roofing+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 33.4 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Prescott/Ken-s-Roofing/884985.html?what=Roofers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Kluke's Roofing,Roofing,Roofers,Williamsburg,"4573 County Rd 31, Williamsburg, ON K0C 2H0",613-821-5434,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Roofing+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 7.9 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Williamsburg/Kluke-s-Roofing/6845073.html?what=Roofers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,South Dundas,Local town pin only
KSK Limited,Roofing,Roofers,Johnstown,"1723 County Road 2, Johnstown, ON K0E 1T1",613-340-1621,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Roofing+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 32.7 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Johnstown/KSK-Limited/100705582.html?what=Roofers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
SD&G Roofing,Roofing,Roofers,Cornwall,"16538 Myers Rd RR 2, Cornwall, ON K0C 1R0",613-937-5087,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Roofing+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 33.3 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Cornwall/SD-G-Roofing/5199362.html?what=Roofers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Seaway Valley Roofing,Roofing,Roofers,Cornwall,"2194 Tollgate Rd W, Cornwall, ON K6J 5W8",613-330-5783,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Roofing+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 34.6 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Cornwall/Seaway-Valley-Roofing/101703366.html?what=Roofers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Toms Aluminum,Roofing,Roofers,Kemptville,"4363 Rideau River, Kemptville, ON K0G 1J0",613-258-7114,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Roofing+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 30 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Kemptville/Toms-Aluminum/1594853.html?what=Roofers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Top Dog Roofing,Roofing,Roofers,Spencerville,"2521 Buckwheat Rd W, Spencerville, ON K0E 1X0",613-658-2275,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Roofing+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 31.1 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Spencerville/Top-Dog-Roofing/2582564.html?what=Roofers&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Polite Steve Sand & Gravel Ltd,Septic Services,Septic Tank Installation & Repair; More&hellip;,Prescott,"5824 McCully Rd RR 4, Prescott, ON K0E 1T0",613-925-2122,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Septic+Tank+Installation+%26+Repair/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 34.3 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Prescott/Polite-Steve-Sand-Gravel-Ltd/1249125.html?what=Septic+Tank+Installation+%26+Repair&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Whitteker Environmental Services,Septic Services,Septic Tank Installation & Repair,Brinston,"4147 Brinston Road, Brinston, ON K0E 1C0",613-648-1141,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Septic+Tank+Installation+%26+Repair/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 14.6 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Brinston/Whitteker-Environmental-Services/101686277.html?what=Septic+Tank+Installation+%26+Repair&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,South Dundas,Local town pin only
Top Notch Tree Maintenance and Removal,Tree Service,Tree Service,Chesterville,"3712 County Road 7, Chesterville, ON K0C 1H0",613-808-8097,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Tree+Service/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 15.1 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Chesterville/Top-Notch-Tree-Maintenance-and-Removal/100705569.html?what=Tree+Service&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,North Dundas,Local town pin only
At The Garden Gate Gardening Service,Landscaping,Gardening service,South Dundas area,,613-619-4041,rhewetson75@gmail.com,https://www.atthegardengate.ca,South Dundas Chamber,https://www.southdundaschamber.ca/business-directory/professional-services/,High,Chamber professional-services listing; useful local gardening/property-service candidate. Verify service area and owner claim before profile management.,Dundas,South Dundas,Local town pin only
MP Computer Services,Computer Services,Computer repair; local technology support,Williamsburg,"4868 County Rd 8, Williamsburg, ON K0C 2H0",613-543-2321,mike@mp-computers.ca,https://www.mp-computers.ca,South Dundas Chamber,https://www.southdundaschamber.ca/business-directory/computer-services/,High,Chamber computer-services listing; practical local service candidate. Cell listed publicly as 613-577-1313; verify preferred public contact during claim.,Dundas,South Dundas,Local town pin only
A&C OutDoors,Building Supplies,Building Supplies,Winchester,"525 Main St., Winchester, Ontario",(613) 265-8942,christopher.willett@live.ca,,North Dundas municipal business directory,https://www.northdundas.com/business-development/economic-development/business-directory?page=0,High,Public source listing found; needs owner claim and service-area confirmation.,Dundas,North Dundas,Local town pin only
ADS Pipe,Plumbing,Plumbing,Winchester,"691 St. Lawrence Street, Winchester, Ontario",613-774-2662,owain.jones@ads-pipe.com,http://ads-pipecanada.ca/ca_en/,North Dundas municipal business directory,https://www.northdundas.com/business-development/economic-development/business-directory?page=0,High,Public source listing found; needs owner claim and service-area confirmation.,Dundas,North Dundas,Local town pin only
Ardron Landscapes Inc.,Landscaping,Landscaping,Mountain,"10300 Hyndman Rd., Mountain, Ontario",(613) 316-7710,info@ardron.ca,https://www.ardron.ca,North Dundas municipal business directory,https://www.northdundas.com/business-development/economic-development/business-directory?page=0,High,Public source listing found; needs owner claim and service-area confirmation.,Dundas,North Dundas,Local town pin only
B Smith Heating & Cooling,HVAC,HVAC,Chesterville,"RR3, Chesterville, Ontario",613-448-2550,,,North Dundas municipal business directory,https://www.northdundas.com/business-development/economic-development/business-directory?page=1,High,Public source listing found; needs owner claim and service-area confirmation.,Dundas,North Dundas,Local town pin only
Badger Excavating Ltd.,Excavation,Excavation,Chesterville,"13505 Connaught Road, Chesterville, Ontario",,,https://www.badgerexcavating.ca,North Dundas municipal business directory,https://www.northdundas.com/business-development/economic-development/business-directory?page=1,High,Public source listing found; needs owner claim and service-area confirmation.,Dundas,North Dundas,Local town pin only
Berts Welding and Fabrication,Millwright,Millwright,Winchester,"11605 Harmoney Rd., Winchester, Ontario",613-774-2974,,,North Dundas municipal business directory,https://www.northdundas.com/business-development/economic-development/business-directory?page=1,High,Public source listing found; needs owner claim and service-area confirmation.,Dundas,North Dundas,Local town pin only
C and H Construction,General Contractor,General Contractor,Winchester,"12224 Holmes Rd., Winchester, Ontario",613-774-1051,c_and_h_construction@yahoo.com,,North Dundas municipal business directory,https://www.northdundas.com/business-development/economic-development/business-directory?page=2,High,Public source listing found; needs owner claim and service-area confirmation.,Dundas,North Dundas,Local town pin only
Coon's Cartage & Excavation,Excavation,Excavation,South Mountain,"10660 Sandy Row Rd, South Mountain, Ontario",,,,North Dundas municipal business directory,https://www.northdundas.com/business-development/economic-development/business-directory?page=5,High,Public source listing found; needs owner claim and service-area confirmation.,Dundas,North Dundas,Local town pin only
D&H Welding,Millwright,Millwright,Morewood,"20 Mill Street, Morewood, Ontario",613-283-2478,,,North Dundas municipal business directory,https://www.northdundas.com/business-development/economic-development/business-directory?page=6,High,Public source listing found; needs owner claim and service-area confirmation.,Dundas,North Dundas,Local town pin only
Dundas Machine,Millwright,Millwright,Winchester,"12205 Gypsy Lane, Winchester, Ontario",613-774-1672,dundasmachine@storm.ca,https://www.dundasmachine.com,North Dundas municipal business directory,https://www.northdundas.com/business-development/economic-development/business-directory?page=9,High,Public source listing found; needs owner claim and service-area confirmation.,Dundas,North Dundas,Local town pin only
E. C. Carruthers and Sons Utility Construction,General Contractor,General Contractor,Crysler,"13758 Coulthart Road, Crysler, Ontario",613-448-1244,e.c.carruthers@xplornet.ca,https://www.eccarruthersandsons.ca,North Dundas municipal business directory,https://www.northdundas.com/business-development/economic-development/business-directory?page=10,High,Public source listing found; needs owner claim and service-area confirmation.,Stormont,North Stormont,Local town pin only
Eric's Carpentry Services,General Contractor,General Contractor,Mountain,"10564 Church Rd, Mountain, Ontario",613-989-2495,,,North Dundas municipal business directory,https://www.northdundas.com/business-development/economic-development/business-directory?page=10,High,Public source listing found; needs owner claim and service-area confirmation.,Dundas,North Dundas,Local town pin only
